NumberOfPlayers,DeadAgentVoted,DeadAgentAttacked,TeammateAttacked,IncorrectAction,WerewolfWins,VillagerWins,TotalTurns,TotalDays,TotalGames,GameTimeSeconds
35,47,13,2,203,0,1,25,12,1,1.118999
35,50,9,3,204,0,1,25,12,1,1.189988
35,69,19,5,290,0,1,65,32,1,1.679996
35,69,16,4,275,1,0,49,24,1,1.500993
35,62,18,2,283,0,1,35,17,1,1.481999
35,79,27,1,282,0,1,49,24,1,1.876992
35,60,17,3,307,0,1,43,21,1,1.440997
35,84,47,3,283,0,1,55,27,1,2.075515
35,91,19,4,298,1,0,55,27,1,1.822998
35,72,38,2,268,1,0,50,25,1,1.870994
35,79,37,3,309,0,1,51,25,1,1.752999
35,89,18,3,314,0,1,49,24,1,2.049998
35,75,18,2,287,0,1,53,26,1,1.872996
35,48,12,3,243,0,1,34,17,1,1.274991
35,62,18,2,247,0,1,39,19,1,1.397001
35,53,13,5,208,0,1,29,14,1,1.299999
35,69,9,2,261,1,0,37,18,1,1.413992
35,74,26,3,275,0,1,53,26,1,2.037997
35,86,16,3,286,0,1,67,33,1,2.179995
35,77,23,3,294,0,1,54,27,1,1.819997
35,87,23,4,273,0,1,54,27,1,1.829994
35,78,56,5,339,0,1,56,28,1,2.279005
35,81,13,4,289,1,0,57,28,1,2.001998
35,76,36,1,277,0,1,47,23,1,1.971997
35,67,17,3,271,0,1,41,20,1,1.492998
35,75,13,3,301,0,1,45,22,1,1.600977
35,97,27,2,329,0,1,69,34,1,2.011998
35,71,7,0,353,0,1,51,25,1,1.833996
35,93,13,3,361,0,1,69,34,1,2.166997
35,52,12,3,223,0,1,29,14,1,1.502998
35,87,28,5,273,0,1,51,25,1,1.739979
35,75,15,2,274,0,1,45,22,1,1.641998
35,111,30,3,345,1,0,75,37,1,2.071996
35,78,18,1,250,0,1,47,23,1,1.489999
35,80,23,2,284,0,1,65,32,1,2.027995
35,74,23,4,286,0,1,47,23,1,1.790991
35,84,11,4,290,0,1,61,30,1,1.652998
35,87,18,4,324,0,1,53,26,1,1.656996
35,74,17,2,343,0,1,57,28,1,1.944997
35,73,17,2,264,0,1,43,21,1,1.698988
35,73,10,2,308,0,1,60,30,1,1.986016
35,95,24,3,339,1,0,84,42,1,2.207997
35,65,10,2,259,0,1,37,18,1,1.550994
35,81,22,4,269,0,1,43,21,1,1.824997
35,64,11,2,243,1,0,35,17,1,1.537996
35,102,19,2,318,1,0,71,35,1,2.037997
35,72,19,1,285,0,1,39,19,1,1.655989
35,71,17,3,281,0,1,37,18,1,1.375998
35,68,23,1,298,0,1,57,28,1,1.776
35,75,13,4,289,0,1,44,22,1,1.458002
35,90,30,1,346,1,0,67,33,1,2.323532
35,96,31,3,290,1,0,60,30,1,2.004119
35,62,12,5,281,0,1,43,21,1,1.573019
35,67,15,2,245,0,1,33,16,1,1.412518
35,83,27,4,291,0,1,47,23,1,1.772996
35,108,23,2,309,1,0,63,31,1,2.024996
35,92,20,1,323,1,0,54,27,1,1.81104
35,83,22,1,271,0,1,49,24,1,1.708981
35,94,29,1,315,0,1,63,31,1,2.133995
35,64,8,1,275,0,1,37,18,1,1.478994
35,88,11,3,322,0,1,53,26,1,1.726995
35,45,5,6,207,0,1,23,11,1,1.104997
35,77,13,0,309,0,1,43,21,1,1.542996
35,56,15,1,261,0,1,31,15,1,1.506999
35,84,32,5,251,1,0,55,27,1,2.016998
35,64,20,0,307,0,1,51,25,1,1.592507
35,58,19,3,262,1,0,44,22,1,1.330001
35,35,17,4,216,0,1,25,12,1,1.407
35,102,22,4,268,1,0,84,42,1,2.029002
35,81,33,2,318,1,0,59,29,1,1.931997
35,48,9,4,255,0,1,29,14,1,1.402996
